
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: b7f3, Got: 0000
Checksum failed. Expected: debb, Got: 0000
Checksum failed. Expected: c1a4, Got: 0000
Checksum failed. Expected: a5af, Got: 0000
Checksum failed. Expected: fbc1, Got: 0000
Checksum failed. Expected: 451e, Got: 0000
Checksum failed. Expected: d75e, Got: 0000
Checksum failed. Expected: 22bd, Got: 0000
Checksum failed. Expected: 30c5, Got: 0000
Checksum failed. Expected: d542, Got: 0000
Checksum failed. Expected: ccc0, Got: 0000
Checksum failed. Expected: a1d9, Got: 0000
Checksum failed. Expected: b556, Got: 0000
Checksum failed. Expected: 1da1, Got: 0000
Checksum failed. Expected: f29a, Got: 0000
Checksum failed. Expected: b003, Got: 0000
Checksum failed. Expected: 255c, Got: 0000
Checksum failed. Expected: f1c6, Got: 0000
Checksum failed. Expected: 977c, Got: 0000
Checksum failed. Expected: 0988, Got: 0000
Checksum failed. Expected: baf0, Got: 0000
Checksum failed. Expected: bf6a, Got: 0000
Checksum failed. Expected: f42c, Got: 0000
Checksum failed. Expected: c90b, Got: 0000
Checksum failed. Expected: 9aca, Got: 0000
Checksum failed. Expected: a7ba, Got: 0000
Checksum failed. Expected: 6961, Got: 0000
Checksum failed. Expected: 18c7, Got: 0000
Checksum failed. Expected: da64, Got: 0000
Checksum failed. Expected: 7011, Got: 0000
Checksum failed. Expected: 462e, Got: 0000
Checksum failed. Expected: 1f7c, Got: 0000
Checksum failed. Expected: 88e3, Got: 0000
Checksum failed. Expected: d431, Got: 0000
Checksum failed. Expected: 806a, Got: 0000
Checksum failed. Expected: 2ca2, Got: 0000
Checksum failed. Expected: b76e, Got: 0000
Checksum failed. Expected: c9a6, Got: 0000
Checksum failed. Expected: d6a4, Got: 0000
Checksum failed. Expected: 83ce, Got: 0000
Checksum failed. Expected: b569, Got: 0000
Checksum failed. Expected: 9998, Got: 0000
Checksum failed. Expected: 154d, Got: 0000
Checksum failed. Expected: 3695, Got: 0000
Checksum failed. Expected: c6a7, Got: 0000
Checksum failed. Expected: 999e, Got: 0000
Checksum failed. Expected: b59c, Got: 0000
Checksum failed. Expected: d39f, Got: 0000
Checksum failed. Expected: 3f51, Got: 0000
Checksum failed. Expected: dc82, Got: 0000
Checksum failed. Expected: 594c, Got: 0000
Checksum failed. Expected: c2b6, Got: 0000
Checksum failed. Expected: 1b0c, Got: 0000
Checksum failed. Expected: f22a, Got: 0000
Checksum failed. Expected: ecc8, Got: 0000
Checksum failed. Expected: 98ff, Got: 0000
Checksum failed. Expected: faf5, Got: 0000
Checksum failed. Expected: 33ea, Got: 0000
Checksum failed. Expected: bd94, Got: 0000
Checksum failed. Expected: 84bf, Got: 0000
Checksum failed. Expected: 7b38, Got: 0000
Checksum failed. Expected: 738f, Got: 0000
Checksum failed. Expected: 8823, Got: 0000
Checksum failed. Expected: 9cb2, Got: 0000
Checksum failed. Expected: 9fdd, Got: 0000
Checksum failed. Expected: cf22, Got: 0000
Checksum failed. Expected: 8b64, Got: 0000
Checksum failed. Expected: d054, Got: 0000
Checksum failed. Expected: 3dfa, Got: 0000
Checksum failed. Expected: e5d6, Got: 0000
Checksum failed. Expected: ae25, Got: 0000
Checksum failed. Expected: b49d, Got: 0000
Checksum failed. Expected: 36a4, Got: 0000
Checksum failed. Expected: 6743, Got: 0000
Checksum failed. Expected: 4c78, Got: 0000
Checksum failed. Expected: f989, Got: 0000
Checksum failed. Expected: ec9e, Got: 0000
Checksum failed. Expected: f559, Got: 0000
Checksum failed. Expected: 939e, Got: 0000
Checksum failed. Expected: f7a2, Got: 0000
Checksum failed. Expected: 677f, Got: 0000
Checksum failed. Expected: 5aa3, Got: 0000
Checksum failed. Expected: 7d2a, Got: 0000
Checksum failed. Expected: 715e, Got: 0000
Checksum failed. Expected: 0f6b, Got: 0000
Checksum failed. Expected: 4fb0, Got: 0000
Checksum failed. Expected: 542c, Got: 0000
Checksum failed. Expected: 8f64, Got: 0000
Checksum failed. Expected: 3ebf, Got: 0000
Checksum failed. Expected: f286, Got: 0000
Checksum failed. Expected: 77e3, Got: 0000
Checksum failed. Expected: c994, Got: 0000
Checksum failed. Expected: 0d73, Got: 0000
Checksum failed. Expected: d050, Got: 0000
Checksum failed. Expected: 1590, Got: 0000
Checksum failed. Expected: 258e, Got: 0000
Checksum failed. Expected: d1b8, Got: 0000
Checksum failed. Expected: 9692, Got: 0000
Checksum failed. Expected: c4e5, Got: 0000
Checksum failed. Expected: 5b9b, Got: 0000
Checksum failed. Expected: a9f9, Got: 0000
Checksum failed. Expected: 010e, Got: 0000
Checksum failed. Expected: fccd, Got: 0000
Checksum failed. Expected: 004a, Got: 0000
Checksum failed. Expected: a4c0, Got: 0000
Checksum failed. Expected: bc9e, Got: 0000
Checksum failed. Expected: 1e88, Got: 0000
Checksum failed. Expected: bdac, Got: 0000
Checksum failed. Expected: 7a06, Got: 0000
Checksum failed. Expected: cab4, Got: 0000
Checksum failed. Expected: b884, Got: 0000
Checksum failed. Expected: 9952, Got: 0000
Checksum failed. Expected: 413b, Got: 0000
Checksum failed. Expected: de5f, Got: 0000
Checksum failed. Expected: 75e6, Got: 0000
Checksum failed. Expected: 57e3, Got: 0000
Checksum failed. Expected: 45d4, Got: 0000
Checksum failed. Expected: c071, Got: 0000
Checksum failed. Expected: 48e4, Got: 0000
Checksum failed. Expected: 9bd9, Got: 0000
Checksum failed. Expected: fa91, Got: 0000
Checksum failed. Expected: b9f2, Got: 0000
Checksum failed. Expected: da47, Got: 0000
Checksum failed. Expected: e513, Got: 0000
Checksum failed. Expected: f55c, Got: 0000
Checksum failed. Expected: 0354, Got: 0000
