
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 3fe3, Got: 606c
Checksum failed. Expected: ea14, Got: 6040
Checksum failed. Expected: 5a98, Got: db90
Checksum failed. Expected: f1a2, Got: 5b39
Checksum failed. Expected: b5bb, Got: ddec
Checksum failed. Expected: f2eb, Got: e0c2
Checksum failed. Expected: 9b35, Got: 65d5
Checksum failed. Expected: fb24, Got: 62e1
Checksum failed. Expected: 2252, Got: f188
Checksum failed. Expected: 3f9a, Got: ed84
Checksum failed. Expected: d4e3, Got: 6e1a
Checksum failed. Expected: af4f, Got: e781
Checksum failed. Expected: 65f6, Got: 6614
Checksum failed. Expected: 7b2c, Got: 63a8
Checksum failed. Expected: fb5e, Got: 6aa5
Checksum failed. Expected: 1d11, Got: 67a7
Checksum failed. Expected: 636a, Got: 5bf0
Checksum failed. Expected: 1095, Got: 5128
Checksum failed. Expected: e694, Got: d89e
Checksum failed. Expected: bda7, Got: 60f1
Checksum failed. Expected: 0cf4, Got: 6937
Checksum failed. Expected: 383b, Got: 586e
Checksum failed. Expected: 9b3a, Got: d9f1
Checksum failed. Expected: 6446, Got: e195
Checksum failed. Expected: 61a5, Got: de3c
Checksum failed. Expected: ccb0, Got: 660b
Checksum failed. Expected: 834c, Got: 6e9e
Checksum failed. Expected: 1c1a, Got: 6e6a
Checksum failed. Expected: 6630, Got: 6a25
Checksum failed. Expected: 81a9, Got: 68f5
Checksum failed. Expected: b710, Got: 6162
Checksum failed. Expected: 7ac3, Got: e24d
Checksum failed. Expected: 49ec, Got: e5d0
Checksum failed. Expected: 7c21, Got: 6600
Checksum failed. Expected: e431, Got: e652
Checksum failed. Expected: 7cb4, Got: 61e0
Checksum failed. Expected: 33f4, Got: e217
Checksum failed. Expected: f763, Got: 5bab
Checksum failed. Expected: faba, Got: dc69
Checksum failed. Expected: b5ad, Got: 6819
Checksum failed. Expected: 135d, Got: 6a4a
Checksum failed. Expected: be93, Got: 6dfc
Checksum failed. Expected: 6487, Got: f777
Checksum failed. Expected: a7e9, Got: 7a5e
Checksum failed. Expected: 034c, Got: f9a2
Checksum failed. Expected: 97fc, Got: eb08
Checksum failed. Expected: d923, Got: e3a9
Checksum failed. Expected: 3b30, Got: 6624
Checksum failed. Expected: c8cb, Got: 6097
