
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 63f0, Got: c9cd
Checksum failed. Expected: a859, Got: 4418
Checksum failed. Expected: f2d5, Got: c639
Checksum failed. Expected: 9952, Got: 4678
Checksum failed. Expected: d26e, Got: 3fdf
Checksum failed. Expected: c39d, Got: 4cab
Checksum failed. Expected: ecd6, Got: d9b5
Checksum failed. Expected: f8bb, Got: da22
Checksum failed. Expected: bd8f, Got: d5ea
Checksum failed. Expected: 0255, Got: 537a
Checksum failed. Expected: e6f4, Got: 4f0e
Checksum failed. Expected: eeb0, Got: d0d2
Checksum failed. Expected: f77b, Got: 5400
Checksum failed. Expected: 4771, Got: 5390
Checksum failed. Expected: 7704, Got: 4af6
Checksum failed. Expected: f65e, Got: 55ef
Checksum failed. Expected: be8d, Got: 58ef
Checksum failed. Expected: 8948, Got: 5b0b
Checksum failed. Expected: ea57, Got: 5bbf
Checksum failed. Expected: 75f0, Got: d26b
Checksum failed. Expected: 3a6d, Got: e082
Checksum failed. Expected: 73ce, Got: e169
Checksum failed. Expected: cd75, Got: 58b2
Checksum failed. Expected: 29c8, Got: 5552
Checksum failed. Expected: 34a3, Got: 4a8e
Checksum failed. Expected: 1ad9, Got: 42d2
Checksum failed. Expected: 91e8, Got: 4fb2
Checksum failed. Expected: 98aa, Got: 54f3
Checksum failed. Expected: cad2, Got: dc93
Checksum failed. Expected: 489d, Got: 5daf
Checksum failed. Expected: 02fa, Got: d94d
Checksum failed. Expected: 03e2, Got: 5584
Checksum failed. Expected: ed6f, Got: e2ef
Checksum failed. Expected: 5125, Got: de29
Checksum failed. Expected: 2b9a, Got: d32e
Checksum failed. Expected: 2588, Got: ce2f
Checksum failed. Expected: 04ca, Got: d2ec
Checksum failed. Expected: 0c2d, Got: 5005
Checksum failed. Expected: d52d, Got: c9d5
Checksum failed. Expected: 4e69, Got: 3add
Checksum failed. Expected: 74c4, Got: 3d55
Checksum failed. Expected: 0fd2, Got: 40c0
Checksum failed. Expected: 7cdf, Got: ccf0
Checksum failed. Expected: 779b, Got: 3dc5
Checksum failed. Expected: d84a, Got: 3ea0
Checksum failed. Expected: 4e25, Got: 463b
Checksum failed. Expected: 207a, Got: cabc
Checksum failed. Expected: e373, Got: 45aa
Checksum failed. Expected: 662b, Got: 4192
Checksum failed. Expected: 9cdd, Got: 3b63
Checksum failed. Expected: 21e0, Got: bca3
Checksum failed. Expected: d530, Got: b84b
Checksum failed. Expected: 7a08, Got: 42a7
Checksum failed. Expected: 9647, Got: cae5
Checksum failed. Expected: a1fc, Got: 4d16
Checksum failed. Expected: 762c, Got: c9c9
Checksum failed. Expected: b1ff, Got: 5109
Checksum failed. Expected: 6725, Got: c68b
Checksum failed. Expected: 4642, Got: 3d52
Checksum failed. Expected: b789, Got: 37d8
Checksum failed. Expected: 3395, Got: c00d
Checksum failed. Expected: 019a, Got: bfa2
Checksum failed. Expected: 4399, Got: 3de4
Checksum failed. Expected: 1f97, Got: c3b9
Checksum failed. Expected: f2a7, Got: 3af4
Checksum failed. Expected: b464, Got: bbcf
