
#################################################################
Log started at 2025-06-16_09-42-22.037339 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.726993, Y=0.133081, Z=9.783956 m/s^2 Time of Week: 132.002000, Week Number: 0
Acceleration: X=-0.724127, Y=0.141883, Z=9.785022 m/s^2 Time of Week: 132.006000, Week Number: 0
Acceleration: X=-0.722974, Y=0.151537, Z=9.780510 m/s^2 Time of Week: 132.010000, Week Number: 0
Acceleration: X=-0.715240, Y=0.148177, Z=9.785171 m/s^2 Time of Week: 132.014000, Week Number: 0
Acceleration: X=-0.724090, Y=0.149923, Z=9.785747 m/s^2 Time of Week: 132.018000, Week Number: 0
Acceleration: X=-0.729551, Y=0.139130, Z=9.785524 m/s^2 Time of Week: 132.022000, Week Number: 0
Acceleration: X=-0.726184, Y=0.143126, Z=9.786032 m/s^2 Time of Week: 132.026000, Week Number: 0
Acceleration: X=-0.722195, Y=0.138537, Z=9.776154 m/s^2 Time of Week: 132.030000, Week Number: 0
Acceleration: X=-0.732479, Y=0.137314, Z=9.775518 m/s^2 Time of Week: 132.034000, Week Number: 0
Acceleration: X=-0.724344, Y=0.135285, Z=9.777960 m/s^2 Time of Week: 132.038000, Week Number: 0
Acceleration: X=-0.724298, Y=0.135288, Z=9.770313 m/s^2 Time of Week: 132.042000, Week Number: 0
Acceleration: X=-0.728900, Y=0.136047, Z=9.768851 m/s^2 Time of Week: 132.046000, Week Number: 0
Acceleration: X=-0.723880, Y=0.140737, Z=9.774135 m/s^2 Time of Week: 132.050000, Week Number: 0
Acceleration: X=-0.719495, Y=0.135200, Z=9.786457 m/s^2 Time of Week: 132.054000, Week Number: 0
Acceleration: X=-0.721116, Y=0.138364, Z=9.779525 m/s^2 Time of Week: 132.058000, Week Number: 0
Acceleration: X=-0.722582, Y=0.142653, Z=9.779214 m/s^2 Time of Week: 132.062000, Week Number: 0
Acceleration: X=-0.721705, Y=0.139024, Z=9.783293 m/s^2 Time of Week: 132.066000, Week Number: 0
Acceleration: X=-0.720731, Y=0.144227, Z=9.787573 m/s^2 Time of Week: 132.070000, Week Number: 0
Acceleration: X=-0.723546, Y=0.139683, Z=9.788548 m/s^2 Time of Week: 132.074000, Week Number: 0
Acceleration: X=-0.711663, Y=0.145516, Z=9.790932 m/s^2 Time of Week: 132.078000, Week Number: 0
Acceleration: X=-0.723667, Y=0.146461, Z=9.786451 m/s^2 Time of Week: 132.082000, Week Number: 0
Acceleration: X=-0.720906, Y=0.143612, Z=9.790199 m/s^2 Time of Week: 132.086000, Week Number: 0
Acceleration: X=-0.726519, Y=0.140363, Z=9.784080 m/s^2 Time of Week: 132.090000, Week Number: 0
Acceleration: X=-0.723965, Y=0.142114, Z=9.778911 m/s^2 Time of Week: 132.094000, Week Number: 0
Acceleration: X=-0.730803, Y=0.147357, Z=9.776354 m/s^2 Time of Week: 132.098000, Week Number: 0
Acceleration: X=-0.733433, Y=0.141851, Z=9.779419 m/s^2 Time of Week: 132.102000, Week Number: 0
Acceleration: X=-0.737604, Y=0.139594, Z=9.767553 m/s^2 Time of Week: 132.106000, Week Number: 0
Acceleration: X=-0.738856, Y=0.138913, Z=9.764493 m/s^2 Time of Week: 132.110000, Week Number: 0
Acceleration: X=-0.734917, Y=0.138047, Z=9.764699 m/s^2 Time of Week: 132.114000, Week Number: 0
Acceleration: X=-0.732988, Y=0.142536, Z=9.766076 m/s^2 Time of Week: 132.118000, Week Number: 0
Acceleration: X=-0.739685, Y=0.135191, Z=9.764644 m/s^2 Time of Week: 132.122000, Week Number: 0
Acceleration: X=-0.739874, Y=0.135147, Z=9.768128 m/s^2 Time of Week: 132.126000, Week Number: 0
Acceleration: X=-0.736269, Y=0.140718, Z=9.764398 m/s^2 Time of Week: 132.130000, Week Number: 0
Acceleration: X=-0.736087, Y=0.131933, Z=9.765123 m/s^2 Time of Week: 132.134000, Week Number: 0
Acceleration: X=-0.734912, Y=0.130711, Z=9.772820 m/s^2 Time of Week: 132.138000, Week Number: 0
Acceleration: X=-0.726419, Y=0.131941, Z=9.772016 m/s^2 Time of Week: 132.142000, Week Number: 0
Acceleration: X=-0.723417, Y=0.133391, Z=9.777202 m/s^2 Time of Week: 132.146000, Week Number: 0
Acceleration: X=-0.721025, Y=0.136625, Z=9.776060 m/s^2 Time of Week: 132.150000, Week Number: 0
Acceleration: X=-0.718828, Y=0.133721, Z=9.785028 m/s^2 Time of Week: 132.154000, Week Number: 0
