
#################################################################
Log started at 2025-06-13_15-59-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 707a, Got: 1f5a
Checksum failed. Expected: b84a, Got: 1f5a
Checksum failed. Expected: d144, Got: 1f5a
Checksum failed. Expected: fdfc, Got: 1f5a
Checksum failed. Expected: d24e, Got: 1f5a
Checksum failed. Expected: d676, Got: 1f5a
Checksum failed. Expected: 11c4, Got: 1f5a
Checksum failed. Expected: 8b88, Got: 1f5a
Checksum failed. Expected: 5ec6, Got: 1f5a
Checksum failed. Expected: a696, Got: 1f5a
Checksum failed. Expected: 8338, Got: 1f5a
Checksum failed. Expected: fbe8, Got: 1f5a
Checksum failed. Expected: bc72, Got: 1f5a
Checksum failed. Expected: f6b6, Got: 1f5a
Checksum failed. Expected: f7c0, Got: 1f5a
Checksum failed. Expected: a58c, Got: 1f5a
Checksum failed. Expected: a482, Got: 1f5a
Checksum failed. Expected: 78ca, Got: 1f5a
Checksum failed. Expected: 43b8, Got: 1f5a
Checksum failed. Expected: 1e46, Got: 1f5a
Checksum failed. Expected: 0ea6, Got: 1f5a
Checksum failed. Expected: e934, Got: 1f5a
Checksum failed. Expected: 41a4, Got: 1f5a
Checksum failed. Expected: 2164, Got: 1f5a
Checksum failed. Expected: 0442, Got: 1f5a
Checksum failed. Expected: 11c4, Got: 1f5a
Checksum failed. Expected: f6b6, Got: 1f5a
Checksum failed. Expected: 0338, Got: 1f5a
Checksum failed. Expected: 8974, Got: 1f5a
Checksum failed. Expected: 8c92, Got: 1f5a
Checksum failed. Expected: 95ec, Got: 1f5a
Checksum failed. Expected: 4e26, Got: 1f5a
Checksum failed. Expected: b104, Got: 1f5a
Checksum failed. Expected: e50c, Got: 1f5a
Checksum failed. Expected: 588a, Got: 1f5a
Checksum failed. Expected: 2abe, Got: 1f5a
Checksum failed. Expected: 3422, Got: 1f5a
Checksum failed. Expected: d88a, Got: 1f5a
Checksum failed. Expected: 1a1e, Got: 1f5a
Checksum failed. Expected: 0760, Got: 1f5a
Checksum failed. Expected: f28e, Got: 1f5a
Checksum failed. Expected: 1a1e, Got: 1f5a
Checksum failed. Expected: b104, Got: 1f5a
Checksum failed. Expected: 728e, Got: 1f5a
Checksum failed. Expected: bc72, Got: 1f5a
Checksum failed. Expected: 4e26, Got: 1f5a
Checksum failed. Expected: b20e, Got: 1f5a
Checksum failed. Expected: 650c, Got: 1f5a
Checksum failed. Expected: aabe, Got: 1f5a
Checksum failed. Expected: 352c, Got: 1f5a
Checksum failed. Expected: aff0, Got: 1f5a
Checksum failed. Expected: 28aa, Got: 1f5a
Checksum failed. Expected: 62ee, Got: 1f5a
Checksum failed. Expected: e934, Got: 1f5a
Checksum failed. Expected: 9b28, Got: 1f5a
Checksum failed. Expected: 74a2, Got: 1f5a
Checksum failed. Expected: dfd0, Got: 1f5a
Checksum failed. Expected: 682a, Got: 1f5a
Checksum failed. Expected: d358, Got: 1f5a
Checksum failed. Expected: f6b6, Got: 1f5a
Checksum failed. Expected: 6402, Got: 1f5a
Checksum failed. Expected: 205a, Got: 1f5a
Checksum failed. Expected: 524e, Got: 1f5a
Checksum failed. Expected: 0760, Got: 1f5a
Checksum failed. Expected: e1e4, Got: 1f5a
Checksum failed. Expected: 5462, Got: 1f5a
Checksum failed. Expected: a26e, Got: 1f5a
Checksum failed. Expected: abc8, Got: 1f5a
Checksum failed. Expected: 588a, Got: 1f5a
Checksum failed. Expected: 2abe, Got: 1f5a
Checksum failed. Expected: d56c, Got: 1f5a
Checksum failed. Expected: 9f50, Got: 1f5a
Checksum failed. Expected: dba8, Got: 1f5a
Checksum failed. Expected: c6d6, Got: 1f5a
Checksum failed. Expected: b84a, Got: 1f5a
Checksum failed. Expected: 1914, Got: 1f5a
Checksum failed. Expected: f07a, Got: 1f5a
Checksum failed. Expected: a378, Got: 1f5a
Checksum failed. Expected: 0d9c, Got: 1f5a
Checksum failed. Expected: 2378, Got: 1f5a
Checksum failed. Expected: 0442, Got: 1f5a
Checksum failed. Expected: c4c2, Got: 1f5a
Checksum failed. Expected: a8aa, Got: 1f5a
Checksum failed. Expected: 2bc8, Got: 1f5a
Checksum failed. Expected: a26e, Got: 1f5a
Checksum failed. Expected: 5ba8, Got: 1f5a
Checksum failed. Expected: c8ea, Got: 1f5a
Checksum failed. Expected: 0a7e, Got: 1f5a
Checksum failed. Expected: e0da, Got: 1f5a
Checksum failed. Expected: 49f4, Got: 1f5a
Checksum failed. Expected: 2ee6, Got: 1f5a
Checksum failed. Expected: 0760, Got: 1f5a
Checksum failed. Expected: 8ea6, Got: 1f5a
Checksum failed. Expected: 28aa, Got: 1f5a
Checksum failed. Expected: 7dfc, Got: 1f5a
Checksum failed. Expected: 47e0, Got: 1f5a
Checksum failed. Expected: 205a, Got: 1f5a
Checksum failed. Expected: 5ec6, Got: 1f5a
Checksum failed. Expected: c2ae, Got: 1f5a
Checksum failed. Expected: ec52, Got: 1f5a
Checksum failed. Expected: 96f6, Got: 1f5a
Checksum failed. Expected: cafe, Got: 1f5a
Checksum failed. Expected: 62ee, Got: 1f5a
Checksum failed. Expected: 92ce, Got: 1f5a
Checksum failed. Expected: e2ee, Got: 1f5a
Checksum failed. Expected: 4e26, Got: 1f5a
Checksum failed. Expected: 9914, Got: 1f5a
Checksum failed. Expected: e720, Got: 1f5a
