
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 3534, Got: 9f75
Checksum failed. Expected: 8974, Got: 8b75
Checksum failed. Expected: 7ba3, Got: c875
Checksum failed. Expected: b9a9, Got: 9075
Checksum failed. Expected: 6bfc, Got: 3175
Checksum failed. Expected: f11d, Got: cc75
Checksum failed. Expected: 1ba6, Got: 2b75
Checksum failed. Expected: 6b39, Got: 6e75
Checksum failed. Expected: 3301, Got: 6e75
Checksum failed. Expected: fd8c, Got: 2f75
Checksum failed. Expected: 79cf, Got: f675
Checksum failed. Expected: f385, Got: 3275
Checksum failed. Expected: 0307, Got: a475
Checksum failed. Expected: 134e, Got: db75
Checksum failed. Expected: 8bc4, Got: d975
Checksum failed. Expected: b122, Got: 1175
Checksum failed. Expected: a9b9, Got: b075
Checksum failed. Expected: 0f3e, Got: cf75
Checksum failed. Expected: ef48, Got: f975
Checksum failed. Expected: a1bc, Got: bb75
Checksum failed. Expected: 874a, Got: 6375
Checksum failed. Expected: 058a, Got: 2575
Checksum failed. Expected: 131a, Got: a775
Checksum failed. Expected: 37dc, Got: 4575
Checksum failed. Expected: 85fd, Got: 1875
Checksum failed. Expected: f7b9, Got: 6275
Checksum failed. Expected: e32c, Got: e975
Checksum failed. Expected: cf32, Got: 0375
Checksum failed. Expected: 6bca, Got: ff75
Checksum failed. Expected: 7329, Got: 5675
Checksum failed. Expected: 29b4, Got: 2b75
Checksum failed. Expected: cbd1, Got: a675
Checksum failed. Expected: 5720, Got: 6975
Checksum failed. Expected: 6b47, Got: 7c75
Checksum failed. Expected: 17b1, Got: 3a75
Checksum failed. Expected: e735, Got: ee75
Checksum failed. Expected: ef86, Got: 3775
Checksum failed. Expected: d189, Got: 5875
Checksum failed. Expected: 2305, Got: 8275
Checksum failed. Expected: 974b, Got: 5475
Checksum failed. Expected: 03f8, Got: 9575
Checksum failed. Expected: 8372, Got: 8f75
Checksum failed. Expected: 978f, Got: 9875
Checksum failed. Expected: 4989, Got: e075
Checksum failed. Expected: 2b6f, Got: e475
Checksum failed. Expected: 15e1, Got: 6c75
Checksum failed. Expected: a342, Got: 3f75
Checksum failed. Expected: 050d, Got: a875
Checksum failed. Expected: 2fc7, Got: 3875
Checksum failed. Expected: 1d30, Got: b375
Checksum failed. Expected: 89bd, Got: d475
Checksum failed. Expected: 59c4, Got: 0b75
Checksum failed. Expected: 87ab, Got: c475
Checksum failed. Expected: d71d, Got: e675
Checksum failed. Expected: f9dd, Got: 8475
Checksum failed. Expected: b77d, Got: 6675
Checksum failed. Expected: 356e, Got: d975
Checksum failed. Expected: 0332, Got: cf75
