
#################################################################
Log started at 2025-06-13_16-01-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 94cd, Got: 0942
Checksum failed. Expected: 58e0, Got: 0942
Checksum failed. Expected: ecce, Got: 0942
Checksum failed. Expected: 9c87, Got: 0942
Checksum failed. Expected: f925, Got: 0942
Checksum failed. Expected: 7d33, Got: 0942
Checksum failed. Expected: cbd2, Got: 0942
Checksum failed. Expected: ab8d, Got: 0942
Checksum failed. Expected: 8c79, Got: 0942
Checksum failed. Expected: 9f7e, Got: 0942
Checksum failed. Expected: 37b7, Got: 0942
Checksum failed. Expected: 3ef5, Got: 0942
Checksum failed. Expected: 1da4, Got: 0942
Checksum failed. Expected: 008f, Got: 0942
Checksum failed. Expected: 5afd, Got: 0942
Checksum failed. Expected: 59c9, Got: 0942
Checksum failed. Expected: 755e, Got: 0942
Checksum failed. Expected: 13e8, Got: 0942
Checksum failed. Expected: ba13, Got: 0942
Checksum failed. Expected: cd11, Got: 0942
Checksum failed. Expected: 533f, Got: 0942
Checksum failed. Expected: 1c9d, Got: 0942
Checksum failed. Expected: 7a27, Got: 0942
Checksum failed. Expected: 5892, Got: 0942
Checksum failed. Expected: 9a81, Got: 0942
Checksum failed. Expected: 14ef, Got: 0942
Checksum failed. Expected: e4bd, Got: 0942
Checksum failed. Expected: 959b, Got: 0942
Checksum failed. Expected: 144a, Got: 0942
Checksum failed. Expected: e2d8, Got: 0942
Checksum failed. Expected: 8f6f, Got: 0942
Checksum failed. Expected: 15b1, Got: 0942
Checksum failed. Expected: df1f, Got: 0942
Checksum failed. Expected: 053e, Got: 0942
Checksum failed. Expected: 6a49, Got: 0942
Checksum failed. Expected: b187, Got: 0942
Checksum failed. Expected: 4cf8, Got: 0942
Checksum failed. Expected: 043f, Got: 0942
Checksum failed. Expected: e0e1, Got: 0942
Checksum failed. Expected: d2c0, Got: 0942
Checksum failed. Expected: e5ab, Got: 0942
Checksum failed. Expected: 7359, Got: 0942
Checksum failed. Expected: 5657, Got: 0942
Checksum failed. Expected: 8a58, Got: 0942
Checksum failed. Expected: 1062, Got: 0942
Checksum failed. Expected: 89bb, Got: 0942
Checksum failed. Expected: f00d, Got: 0942
Checksum failed. Expected: f41b, Got: 0942
Checksum failed. Expected: 4829, Got: 0942
Checksum failed. Expected: 9907, Got: 0942
Checksum failed. Expected: 2ac9, Got: 0942
Checksum failed. Expected: 962f, Got: 0942
Checksum failed. Expected: a2cb, Got: 0942
Checksum failed. Expected: 280d, Got: 0942
Checksum failed. Expected: ac1b, Got: 0942
Checksum failed. Expected: ebca, Got: 0942
Checksum failed. Expected: 80d5, Got: 0942
Checksum failed. Expected: 0e76, Got: 0942
Checksum failed. Expected: be2f, Got: 0942
Checksum failed. Expected: d46b, Got: 0942
Checksum failed. Expected: 899d, Got: 0942
Checksum failed. Expected: 584c, Got: 0942
Checksum failed. Expected: c3b7, Got: 0942
Checksum failed. Expected: 0385, Got: 0942
Checksum failed. Expected: cdda, Got: 0942
Checksum failed. Expected: 660d, Got: 0942
Checksum failed. Expected: 25bc, Got: 0942
Checksum failed. Expected: acf5, Got: 0942
Checksum failed. Expected: 6bc7, Got: 0942
Checksum failed. Expected: e645, Got: 0942
Checksum failed. Expected: a2d3, Got: 0942
Checksum failed. Expected: 4e45, Got: 0942
Checksum failed. Expected: 233b, Got: 0942
Checksum failed. Expected: 10d9, Got: 0942
Checksum failed. Expected: be95, Got: 0942
Checksum failed. Expected: 6b47, Got: 0942
Checksum failed. Expected: 8e45, Got: 0942
Checksum failed. Expected: 7ac4, Got: 0942
Checksum failed. Expected: da72, Got: 0942
Checksum failed. Expected: 1d5b, Got: 0942
Checksum failed. Expected: e499, Got: 0942
Checksum failed. Expected: 0255, Got: 0942
Checksum failed. Expected: c448, Got: 0942
Checksum failed. Expected: 7c2a, Got: 0942
Checksum failed. Expected: 2d68, Got: 0942
Checksum failed. Expected: b9f1, Got: 0942
Checksum failed. Expected: 4373, Got: 0942
Checksum failed. Expected: b781, Got: 0942
Checksum failed. Expected: 20d2, Got: 0942
Checksum failed. Expected: 3e5c, Got: 0942
Checksum failed. Expected: 7477, Got: 0942
Checksum failed. Expected: 9225, Got: 0942
Checksum failed. Expected: b1f1, Got: 0942
Checksum failed. Expected: c3f3, Got: 0942
Checksum failed. Expected: 2701, Got: 0942
Checksum failed. Expected: 8f33, Got: 0942
Checksum failed. Expected: 0649, Got: 0942
Checksum failed. Expected: fb67, Got: 0942
Checksum failed. Expected: 35d5, Got: 0942
Checksum failed. Expected: 5b11, Got: 0942
Checksum failed. Expected: c254, Got: 0942
Checksum failed. Expected: bcaf, Got: 0942
Checksum failed. Expected: b5f4, Got: 0942
Checksum failed. Expected: 56a7, Got: 0942
