
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2272, Got: b22d
Checksum failed. Expected: 6775, Got: 20c5
Checksum failed. Expected: 4b17, Got: 8f5d
Checksum failed. Expected: fae0, Got: fdf4
Checksum failed. Expected: 2efd, Got: 6c8c
Checksum failed. Expected: 6413, Got: db23
Checksum failed. Expected: 6a81, Got: 49bb
Checksum failed. Expected: ce0d, Got: b852
Checksum failed. Expected: be6a, Got: 26ea
Checksum failed. Expected: 4f82, Got: 9581
Checksum failed. Expected: e3d7, Got: 0419
Checksum failed. Expected: b9a1, Got: 72b0
Checksum failed. Expected: bf53, Got: e148
Checksum failed. Expected: ebd9, Got: 4fe0
Checksum failed. Expected: 33ff, Got: be77
Checksum failed. Expected: 3eca, Got: 2d0f
Checksum failed. Expected: dd9e, Got: 9ba6
Checksum failed. Expected: cbe7, Got: 0a3e
Checksum failed. Expected: 885f, Got: 78d5
Checksum failed. Expected: 2db7, Got: e76d
Checksum failed. Expected: 4c87, Got: 5604
Checksum failed. Expected: bdc8, Got: c49c
Checksum failed. Expected: fb6a, Got: 3334
Checksum failed. Expected: 02e2, Got: a1cb
Checksum failed. Expected: 6f29, Got: 1063
Checksum failed. Expected: 4e71, Got: 7efa
Checksum failed. Expected: 73d5, Got: ed92
Checksum failed. Expected: 1c31, Got: 5c29
Checksum failed. Expected: 514c, Got: cac1
Checksum failed. Expected: c3ba, Got: 3958
Checksum failed. Expected: c2e1, Got: a7f0
Checksum failed. Expected: 5c7f, Got: 1688
Checksum failed. Expected: ad0f, Got: 851f
Checksum failed. Expected: fd39, Got: ae15
Checksum failed. Expected: f513, Got: 1cac
Checksum failed. Expected: b2a6, Got: 8b44
Checksum failed. Expected: 295f, Got: f9db
Checksum failed. Expected: 9154, Got: 6873
Checksum failed. Expected: 8196, Got: d70b
Checksum failed. Expected: 7a52, Got: 45a2
Checksum failed. Expected: 319d, Got: b43a
Checksum failed. Expected: b1bb, Got: 22d1
Checksum failed. Expected: c1e4, Got: 9169
Checksum failed. Expected: 1691, Got: 0000
Checksum failed. Expected: 1cf8, Got: 6e98
Checksum failed. Expected: af4d, Got: dd2f
Checksum failed. Expected: 9c74, Got: 4bc7
Checksum failed. Expected: 8ff4, Got: ba5f
Checksum failed. Expected: 3742, Got: 28f6
Checksum failed. Expected: 4879, Got: 978e
Checksum failed. Expected: 03d1, Got: 0625
Checksum failed. Expected: 7b96, Got: 74bd
Checksum failed. Expected: e5a1, Got: e354
Checksum failed. Expected: 5a44, Got: 51ec
Checksum failed. Expected: 03ac, Got: c083
Checksum failed. Expected: aa0b, Got: 2f1b
Checksum failed. Expected: 2c3d, Got: 9db3
Checksum failed. Expected: c905, Got: 0c4a
Checksum failed. Expected: 8cc2, Got: 7ae2
Checksum failed. Expected: 0af1, Got: e979
Checksum failed. Expected: 3ac2, Got: 5811
Checksum failed. Expected: 5888, Got: c6a8
Checksum failed. Expected: a4f5, Got: 3540
Checksum failed. Expected: 41ad, Got: a3d7
Checksum failed. Expected: 245c, Got: 126f
Checksum failed. Expected: a154, Got: 8106
Checksum failed. Expected: b7c6, Got: ef9e
Checksum failed. Expected: d7c4, Got: 5e36
Checksum failed. Expected: 3b52, Got: cccd
Checksum failed. Expected: 4b83, Got: 3b65
Checksum failed. Expected: 2ce7, Got: a9fc
Checksum failed. Expected: dccc, Got: 1894
Checksum failed. Expected: baf0, Got: 872b
Checksum failed. Expected: 1534, Got: f5c3
Checksum failed. Expected: 6b1a, Got: 645a
Checksum failed. Expected: 3ed9, Got: d2f2
Checksum failed. Expected: a49f, Got: 418a
Checksum failed. Expected: a907, Got: b021
Checksum failed. Expected: 086a, Got: 1eb9
Checksum failed. Expected: 6d26, Got: 8d50
