
#################################################################
Log started at 2025-06-12_16-19-23 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 7b41, Got: 6042
Checksum failed. Expected: 3157, Got: ced9
Checksum failed. Expected: eff4, Got: 3d71
Checksum failed. Expected: 0534, Got: ac09
Checksum failed. Expected: 0ba6, Got: 1aa0
Checksum failed. Expected: 451b, Got: 8938
Checksum failed. Expected: cec4, Got: f7cf
Checksum failed. Expected: 5469, Got: 6667
Checksum failed. Expected: 1945, Got: d4fe
Checksum failed. Expected: fe1c, Got: 4396
Checksum failed. Expected: 2dc4, Got: b22d
Checksum failed. Expected: 27ad, Got: 20c5
Checksum failed. Expected: f737, Got: 8f5d
Checksum failed. Expected: 0eb0, Got: fdf4
Checksum failed. Expected: 56e5, Got: 6c8c
Checksum failed. Expected: cd89, Got: db23
Checksum failed. Expected: de91, Got: 49bb
Checksum failed. Expected: 6f93, Got: b852
Checksum failed. Expected: 24b6, Got: 26ea
Checksum failed. Expected: 7dbe, Got: 9581
Checksum failed. Expected: 6e29, Got: 0419
Checksum failed. Expected: 373d, Got: 72b0
Checksum failed. Expected: debd, Got: e148
Checksum failed. Expected: 15dd, Got: 4fe0
Checksum failed. Expected: 23d7, Got: be77
Checksum failed. Expected: 714c, Got: 2d0f
Checksum failed. Expected: 76b4, Got: 9ba6
Checksum failed. Expected: 0e49, Got: 0a3e
Checksum failed. Expected: 9905, Got: 78d5
Checksum failed. Expected: ab53, Got: e76d
Checksum failed. Expected: 2c7f, Got: 5604
Checksum failed. Expected: a530, Got: c49c
Checksum failed. Expected: 9264, Got: 3334
Checksum failed. Expected: 421a, Got: a1cb
Checksum failed. Expected: aa1b, Got: 1063
Checksum failed. Expected: bb1f, Got: 7efa
Checksum failed. Expected: 738d, Got: ed92
Checksum failed. Expected: 8061, Got: 5c29
Checksum failed. Expected: 5104, Got: cac1
Checksum failed. Expected: cf1a, Got: 3958
Checksum failed. Expected: 3d53, Got: a7f0
Checksum failed. Expected: 7595, Got: 1688
Checksum failed. Expected: cb6b, Got: 851f
Checksum failed. Expected: a04f, Got: f3b7
Checksum failed. Expected: bbfb, Got: 624e
Checksum failed. Expected: ce18, Got: d0e6
Checksum failed. Expected: d5b8, Got: 3f7d
Checksum failed. Expected: aebf, Got: ae15
Checksum failed. Expected: d4fd, Got: 1cac
Checksum failed. Expected: bdf8, Got: 8b44
Checksum failed. Expected: b079, Got: f9db
Checksum failed. Expected: 1544, Got: 6873
Checksum failed. Expected: bc88, Got: d70b
Checksum failed. Expected: a780, Got: 45a2
Checksum failed. Expected: 5dbd, Got: b43a
Checksum failed. Expected: 24bd, Got: 22d1
Checksum failed. Expected: 7bc8, Got: 9169
Checksum failed. Expected: fbcf, Got: 0000
Checksum failed. Expected: 4d5e, Got: 6e98
Checksum failed. Expected: eb4d, Got: dd2f
Checksum failed. Expected: 3044, Got: 4bc7
Checksum failed. Expected: 280a, Got: ba5f
Checksum failed. Expected: 3808, Got: 28f6
Checksum failed. Expected: 56f5, Got: 978e
Checksum failed. Expected: 925b, Got: 0625
Checksum failed. Expected: 5210, Got: 74bd
Checksum failed. Expected: f20f, Got: e354
