
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 264b, Got: 9c1c
Checksum failed. Expected: aa10, Got: 215a
Checksum failed. Expected: 2ad9, Got: a6da
Checksum failed. Expected: f1fb, Got: 1fc0
Checksum failed. Expected: 3a48, Got: a252
Checksum failed. Expected: 53f0, Got: 328c
Checksum failed. Expected: 8d1c, Got: 3b06
Checksum failed. Expected: ebb7, Got: 393a
Checksum failed. Expected: afda, Got: b6cf
Checksum failed. Expected: aed4, Got: 34da
Checksum failed. Expected: 288d, Got: 35dd
Checksum failed. Expected: 5f7c, Got: b51d
Checksum failed. Expected: a523, Got: b298
Checksum failed. Expected: b4ee, Got: af24
Checksum failed. Expected: 9f84, Got: a909
Checksum failed. Expected: d270, Got: ac11
Checksum failed. Expected: f5d1, Got: 35b1
Checksum failed. Expected: 7d77, Got: b8e9
Checksum failed. Expected: dcdc, Got: 3766
Checksum failed. Expected: 0db3, Got: 37bf
Checksum failed. Expected: 680e, Got: b650
Checksum failed. Expected: c874, Got: 265d
Checksum failed. Expected: 754b, Got: 1746
Checksum failed. Expected: 04a9, Got: a062
Checksum failed. Expected: df3d, Got: a357
Checksum failed. Expected: 89e4, Got: a9f6
Checksum failed. Expected: b471, Got: a719
Checksum failed. Expected: 83de, Got: b066
Checksum failed. Expected: aee1, Got: 2768
Checksum failed. Expected: be46, Got: a4c4
Checksum failed. Expected: 1295, Got: 936d
Checksum failed. Expected: ca5b, Got: 8610
Checksum failed. Expected: e49f, Got: 0540
Checksum failed. Expected: 8d40, Got: 8cce
Checksum failed. Expected: 554f, Got: 8954
Checksum failed. Expected: 1799, Got: 13a1
Checksum failed. Expected: 109f, Got: 0f33
Checksum failed. Expected: 7225, Got: 044d
Checksum failed. Expected: 781a, Got: 857c
Checksum failed. Expected: bd1d, Got: c5b1
Checksum failed. Expected: 99a1, Got: 858d
Checksum failed. Expected: 69a6, Got: 8c04
Checksum failed. Expected: 4efd, Got: 1409
Checksum failed. Expected: c85c, Got: 16d4
Checksum failed. Expected: 832e, Got: 0af9
Checksum failed. Expected: 7335, Got: 0979
Checksum failed. Expected: 7949, Got: 8dc7
Checksum failed. Expected: dc12, Got: 0fa1
Checksum failed. Expected: 6218, Got: 9c1a
Checksum failed. Expected: c179, Got: 2312
Checksum failed. Expected: dbe4, Got: 24f2
Checksum failed. Expected: 6534, Got: 9cbe
Checksum failed. Expected: 1986, Got: 9748
Checksum failed. Expected: 89dc, Got: 9482
Checksum failed. Expected: 2292, Got: 8784
Checksum failed. Expected: 1403, Got: 843b
Checksum failed. Expected: 5980, Got: 0bb8
Checksum failed. Expected: fde7, Got: 11fa
Checksum failed. Expected: d8cd, Got: 1815
Checksum failed. Expected: 844e, Got: 0d81
Checksum failed. Expected: faba, Got: fb38
Checksum failed. Expected: f95b, Got: 82d6
Checksum failed. Expected: df91, Got: 0599
Checksum failed. Expected: 3359, Got: 8a49
Checksum failed. Expected: b8e8, Got: 045d
Checksum failed. Expected: c8d8, Got: 81c4
Checksum failed. Expected: e14f, Got: 0022
Checksum failed. Expected: 71c8, Got: 0138
Checksum failed. Expected: 5585, Got: ff0b
Checksum failed. Expected: 6589, Got: 806c
Checksum failed. Expected: 9497, Got: 0414
Checksum failed. Expected: d114, Got: 0a5c
Checksum failed. Expected: 4467, Got: 89da
Checksum failed. Expected: 99e8, Got: 86b6
Checksum failed. Expected: 1ed0, Got: 0c57
Checksum failed. Expected: e3f5, Got: 8b30
Checksum failed. Expected: 95d1, Got: 020e
Checksum failed. Expected: c709, Got: 874e
Checksum failed. Expected: bdfe, Got: 8d54
Checksum failed. Expected: 8624, Got: 0835
Checksum failed. Expected: ca04, Got: 0369
Checksum failed. Expected: 52cf, Got: 7882
Checksum failed. Expected: d66b, Got: 0015
Checksum failed. Expected: 8b16, Got: 8e5f
Checksum failed. Expected: d9a1, Got: 9c01
Checksum failed. Expected: d5c2, Got: ce30
Checksum failed. Expected: 8249, Got: 8f7a
Checksum failed. Expected: 0a58, Got: 0f21
Checksum failed. Expected: f679, Got: 9a10
Checksum failed. Expected: 221b, Got: 2566
Checksum failed. Expected: 6b7f, Got: 57bc
Checksum failed. Expected: 4183, Got: 5bde
Checksum failed. Expected: e6b2, Got: dade
Checksum failed. Expected: 19d7, Got: 5be2
Checksum failed. Expected: 25a6, Got: 38e5
Checksum failed. Expected: 6e2a, Got: 3a16
Checksum failed. Expected: a5e0, Got: 3594
Checksum failed. Expected: e3b4, Got: 3499
Checksum failed. Expected: d7f2, Got: 3b0a
Checksum failed. Expected: 93eb, Got: a607
Checksum failed. Expected: fd81, Got: 2545
Checksum failed. Expected: e46c, Got: 318e
Checksum failed. Expected: 73a6, Got: 39c8
Checksum failed. Expected: 39e5, Got: 3483
Checksum failed. Expected: decb, Got: 3c31
