
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 82cb, Got: 8a41
Checksum failed. Expected: 24b6, Got: 8d92
Checksum failed. Expected: 920d, Got: ce32
Checksum failed. Expected: ce5f, Got: 0fa4
Checksum failed. Expected: e749, Got: 533a
Checksum failed. Expected: 3a49, Got: 130f
Checksum failed. Expected: 0985, Got: 9dba
Checksum failed. Expected: 6dd1, Got: 0c9c
Checksum failed. Expected: c3a5, Got: 4c66
Checksum failed. Expected: c9f4, Got: 4b65
Checksum failed. Expected: 407d, Got: 47a1
Checksum failed. Expected: 97cd, Got: 8861
Checksum failed. Expected: 759d, Got: c413
Checksum failed. Expected: ad67, Got: 47f4
Checksum failed. Expected: 8274, Got: 048f
Checksum failed. Expected: ac1d, Got: 8244
Checksum failed. Expected: e08a, Got: 0b4a
Checksum failed. Expected: 4ba9, Got: 0cae
Checksum failed. Expected: cad3, Got: 0852
Checksum failed. Expected: 9e69, Got: 8e30
Checksum failed. Expected: 2db3, Got: 8f06
Checksum failed. Expected: 5489, Got: 1a8c
Checksum failed. Expected: 17b8, Got: a604
Checksum failed. Expected: 0f94, Got: a300
Checksum failed. Expected: faea, Got: 4afb
Checksum failed. Expected: 5c50, Got: 9ca4
Checksum failed. Expected: b0df, Got: 14bb
Checksum failed. Expected: 0b3d, Got: 9fc8
Checksum failed. Expected: ef69, Got: 2531
Checksum failed. Expected: 528c, Got: 1257
Checksum failed. Expected: 9b14, Got: 9351
Checksum failed. Expected: c8d7, Got: 1364
Checksum failed. Expected: 924d, Got: 2005
Checksum failed. Expected: f418, Got: 9652
Checksum failed. Expected: c7b3, Got: 983d
Checksum failed. Expected: 7a60, Got: 9008
Checksum failed. Expected: 2587, Got: 91b2
Checksum failed. Expected: 450a, Got: 95e5
Checksum failed. Expected: 4b15, Got: 0b8e
Checksum failed. Expected: 7174, Got: fe63
Checksum failed. Expected: 181b, Got: fdde
Checksum failed. Expected: 9fae, Got: 0595
Checksum failed. Expected: c0f9, Got: 8ea6
Checksum failed. Expected: a005, Got: 1326
Checksum failed. Expected: d0f6, Got: 515d
Checksum failed. Expected: 8f36, Got: a278
Checksum failed. Expected: 861f, Got: a78a
Checksum failed. Expected: 8665, Got: a071
Checksum failed. Expected: 2073, Got: 1012
Checksum failed. Expected: 82e1, Got: 8d04
Checksum failed. Expected: e531, Got: 8b04
Checksum failed. Expected: 1c6d, Got: c5f3
Checksum failed. Expected: f63b, Got: c734
Checksum failed. Expected: 8d3a, Got: 4e3d
Checksum failed. Expected: 1797, Got: 5243
Checksum failed. Expected: 026f, Got: cbb3
Checksum failed. Expected: c8bc, Got: 5065
