
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d3f7, Got: 0000
Checksum failed. Expected: dbb3, Got: 0000
Checksum failed. Expected: 88cd, Got: 0000
Checksum failed. Expected: a94d, Got: 0000
Checksum failed. Expected: 2002, Got: 0000
Checksum failed. Expected: 2ae9, Got: 0000
Checksum failed. Expected: 5195, Got: 0000
Checksum failed. Expected: 951c, Got: 0000
Checksum failed. Expected: e36d, Got: 0000
Checksum failed. Expected: d192, Got: 0000
Checksum failed. Expected: 8b88, Got: 0000
Checksum failed. Expected: 0f2c, Got: 0000
Checksum failed. Expected: 9e6d, Got: 0000
Checksum failed. Expected: de9b, Got: 0000
Checksum failed. Expected: 1cd2, Got: 0000
Checksum failed. Expected: 427f, Got: 0000
Checksum failed. Expected: 109a, Got: 0000
Checksum failed. Expected: 4fe7, Got: 0000
Checksum failed. Expected: 26ab, Got: 0000
Checksum failed. Expected: 1c4e, Got: 0000
Checksum failed. Expected: 33d6, Got: 0000
Checksum failed. Expected: 8a8d, Got: 0000
Checksum failed. Expected: 5e2d, Got: 0000
Checksum failed. Expected: f611, Got: 0000
Checksum failed. Expected: 6311, Got: 0000
Checksum failed. Expected: 0df5, Got: 0000
Checksum failed. Expected: f171, Got: 0000
Checksum failed. Expected: 982b, Got: 0000
Checksum failed. Expected: 6cdb, Got: 0000
Checksum failed. Expected: af50, Got: 0000
Checksum failed. Expected: a827, Got: 0000
Checksum failed. Expected: 6313, Got: 0000
Checksum failed. Expected: 446a, Got: 0000
Checksum failed. Expected: 12bb, Got: 0000
Checksum failed. Expected: 3860, Got: 0000
Checksum failed. Expected: de16, Got: 0000
Checksum failed. Expected: 7e7a, Got: 0000
Checksum failed. Expected: 1ecb, Got: 0000
Checksum failed. Expected: 0679, Got: 0000
Checksum failed. Expected: e5c0, Got: 0000
Checksum failed. Expected: dc7d, Got: 0000
Checksum failed. Expected: ced8, Got: 0000
Checksum failed. Expected: 3385, Got: 0000
Checksum failed. Expected: 0609, Got: 0000
Checksum failed. Expected: 3fe6, Got: 0000
Checksum failed. Expected: e246, Got: 0000
Checksum failed. Expected: 939d, Got: 0000
Checksum failed. Expected: 4ead, Got: 0000
Checksum failed. Expected: 4d01, Got: 0000
Checksum failed. Expected: e281, Got: 0000
Checksum failed. Expected: ae85, Got: 0000
Checksum failed. Expected: c531, Got: 0000
Checksum failed. Expected: 79bb, Got: 0000
Checksum failed. Expected: db4b, Got: 0000
Checksum failed. Expected: fdb0, Got: 0000
Checksum failed. Expected: a8a7, Got: 0000
Checksum failed. Expected: 9393, Got: 0000
Checksum failed. Expected: d0aa, Got: 0000
Checksum failed. Expected: c34b, Got: 0000
Checksum failed. Expected: b6c0, Got: 0000
Checksum failed. Expected: c4f6, Got: 0000
Checksum failed. Expected: 656a, Got: 0000
Checksum failed. Expected: 76cb, Got: 0000
Checksum failed. Expected: c1a9, Got: 0000
Checksum failed. Expected: d870, Got: 0000
Checksum failed. Expected: ff2d, Got: 0000
Checksum failed. Expected: 95c8, Got: 0000
Checksum failed. Expected: cfc5, Got: 0000
Checksum failed. Expected: 0ce9, Got: 0000
Checksum failed. Expected: 57e6, Got: 0000
Checksum failed. Expected: 54e6, Got: 0000
Checksum failed. Expected: ba8d, Got: 0000
Checksum failed. Expected: ff3d, Got: 0000
