
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f0c5, Got: 4531
Checksum failed. Expected: cde7, Got: 4c80
Checksum failed. Expected: beac, Got: c93f
Checksum failed. Expected: 8539, Got: 516d
Checksum failed. Expected: 1a14, Got: d4da
Checksum failed. Expected: 325c, Got: 58fc
Checksum failed. Expected: 429f, Got: c710
Checksum failed. Expected: 819b, Got: c511
Checksum failed. Expected: 2804, Got: 4acb
Checksum failed. Expected: 8d4a, Got: 53d3
Checksum failed. Expected: f614, Got: d093
Checksum failed. Expected: 7f17, Got: c5ce
Checksum failed. Expected: fc12, Got: 4486
Checksum failed. Expected: 22bf, Got: 4480
Checksum failed. Expected: b214, Got: 4e36
Checksum failed. Expected: 956c, Got: 4317
Checksum failed. Expected: 381a, Got: 4162
Checksum failed. Expected: e1d7, Got: cf49
Checksum failed. Expected: acb5, Got: d1f0
Checksum failed. Expected: b417, Got: c5cf
Checksum failed. Expected: 1164, Got: c5ae
Checksum failed. Expected: a8ad, Got: cab0
Checksum failed. Expected: 41f3, Got: cf8d
Checksum failed. Expected: be78, Got: 43a2
Checksum failed. Expected: e210, Got: c7e6
Checksum failed. Expected: 1921, Got: 450b
Checksum failed. Expected: 2278, Got: 3f0f
Checksum failed. Expected: 0dfb, Got: 48be
Checksum failed. Expected: 8cff, Got: c6ec
Checksum failed. Expected: 99bd, Got: c618
Checksum failed. Expected: b183, Got: c4f4
Checksum failed. Expected: addc, Got: c349
Checksum failed. Expected: f8d5, Got: 3efa
Checksum failed. Expected: 7136, Got: b66b
Checksum failed. Expected: 115d, Got: 3ce7
Checksum failed. Expected: 41e8, Got: bf8e
Checksum failed. Expected: c977, Got: 39be
Checksum failed. Expected: 285d, Got: 3dbf
Checksum failed. Expected: bdc1, Got: c23b
Checksum failed. Expected: ad1f, Got: b425
Checksum failed. Expected: 15c7, Got: ad6a
Checksum failed. Expected: a72a, Got: 361b
Checksum failed. Expected: 0df7, Got: c2a3
Checksum failed. Expected: 8973, Got: 4514
Checksum failed. Expected: ef11, Got: 3f82
Checksum failed. Expected: 37db, Got: cb69
Checksum failed. Expected: 2ed6, Got: ce8d
Checksum failed. Expected: 89f9, Got: 4641
Checksum failed. Expected: 433d, Got: 3458
Checksum failed. Expected: 6764, Got: b5e2
Checksum failed. Expected: 993d, Got: ba71
Checksum failed. Expected: 7484, Got: 3fc0
Checksum failed. Expected: b7f0, Got: 3eef
Checksum failed. Expected: e442, Got: 4175
Checksum failed. Expected: f020, Got: b92a
Checksum failed. Expected: f89a, Got: 2ff5
Checksum failed. Expected: c61b, Got: 3698
Checksum failed. Expected: ad92, Got: 3f73
Checksum failed. Expected: 40c8, Got: 33b7
Checksum failed. Expected: a8a7, Got: 2ff9
Checksum failed. Expected: 10d3, Got: bb96
Checksum failed. Expected: 7c3a, Got: 3884
Checksum failed. Expected: 9b9f, Got: 3e71
Checksum failed. Expected: 9b1d, Got: 439e
Checksum failed. Expected: f30b, Got: cd5b
Checksum failed. Expected: f27a, Got: c80e
Checksum failed. Expected: 3db0, Got: 37b1
Checksum failed. Expected: cc7d, Got: b567
Checksum failed. Expected: bee3, Got: b70a
Checksum failed. Expected: 195d, Got: bf38
Checksum failed. Expected: 0f65, Got: 3941
Checksum failed. Expected: 3fea, Got: 3bce
Checksum failed. Expected: d007, Got: 3b7b
Checksum failed. Expected: 84a9, Got: 423e
Checksum failed. Expected: eb44, Got: b95f
Checksum failed. Expected: c25e, Got: 3764
Checksum failed. Expected: 9d8d, Got: 3dc2
Checksum failed. Expected: 24cd, Got: 42f0
Checksum failed. Expected: a5e1, Got: 4c9a
Checksum failed. Expected: 4706, Got: cada
Checksum failed. Expected: 23ea, Got: 4920
Checksum failed. Expected: b4b9, Got: 42bd
Checksum failed. Expected: 82e5, Got: c33a
Checksum failed. Expected: e832, Got: c43a
Checksum failed. Expected: f17c, Got: 4b7e
Checksum failed. Expected: 3f8b, Got: 4bc9
Checksum failed. Expected: c3dc, Got: c3c5
Checksum failed. Expected: cefa, Got: b2fa
Checksum failed. Expected: 964a, Got: b9d6
Checksum failed. Expected: 373a, Got: c71e
Checksum failed. Expected: fc60, Got: 4762
Checksum failed. Expected: 16ea, Got: c453
Checksum failed. Expected: 78b9, Got: c4d3
Checksum failed. Expected: 2377, Got: c55c
Checksum failed. Expected: a4d5, Got: c7b8
Checksum failed. Expected: ded6, Got: ca76
Checksum failed. Expected: 891d, Got: 44df
Checksum failed. Expected: 4360, Got: 4b60
Checksum failed. Expected: 7877, Got: c624
Checksum failed. Expected: 20ee, Got: 3f65
Checksum failed. Expected: bee6, Got: 4e0f
Checksum failed. Expected: 019b, Got: 49e5
Checksum failed. Expected: 0cf8, Got: 4cdc
Checksum failed. Expected: 4515, Got: 4656
Checksum failed. Expected: 44e4, Got: 4c96
Checksum failed. Expected: d792, Got: 52b2
Checksum failed. Expected: 4cb6, Got: 498b
Checksum failed. Expected: 1c4c, Got: 4a71
Checksum failed. Expected: 5347, Got: 4a6a
Checksum failed. Expected: 7c1e, Got: c727
Checksum failed. Expected: 1002, Got: 445a
Checksum failed. Expected: 5f75, Got: 3721
Checksum failed. Expected: a89e, Got: 3fc9
Checksum failed. Expected: 0a64, Got: 5c1a
Checksum failed. Expected: 1422, Got: bec8
Checksum failed. Expected: ce23, Got: c949
Checksum failed. Expected: 835d, Got: bf04
