
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1b39, Got: a475
Checksum failed. Expected: bc7d, Got: b8d4
Checksum failed. Expected: 51f5, Got: ae96
Checksum failed. Expected: 8aaf, Got: b85d
Checksum failed. Expected: 696b, Got: e22c
Checksum failed. Expected: 5bee, Got: e926
Checksum failed. Expected: 61a0, Got: fcfc
Checksum failed. Expected: d3ba, Got: 0dd5
Checksum failed. Expected: 6020, Got: d845
Checksum failed. Expected: 5599, Got: b934
Checksum failed. Expected: cc05, Got: a2a4
Checksum failed. Expected: 34af, Got: 9439
Checksum failed. Expected: 4ee7, Got: ca76
Checksum failed. Expected: 7397, Got: f5b7
Checksum failed. Expected: 7c0c, Got: 0f55
Checksum failed. Expected: a578, Got: 035f
Checksum failed. Expected: 13b7, Got: 15a8
Checksum failed. Expected: 7ff7, Got: 110c
Checksum failed. Expected: f4c7, Got: 12f4
Checksum failed. Expected: 1fc0, Got: f80e
Checksum failed. Expected: 541f, Got: e259
Checksum failed. Expected: e435, Got: e00f
Checksum failed. Expected: 8d0b, Got: d372
Checksum failed. Expected: 2a2b, Got: d65d
Checksum failed. Expected: 82fc, Got: e659
Checksum failed. Expected: 6cf2, Got: fc74
Checksum failed. Expected: 17df, Got: 13d6
Checksum failed. Expected: 38d7, Got: 195b
Checksum failed. Expected: fecc, Got: f348
Checksum failed. Expected: 8639, Got: f679
Checksum failed. Expected: 107b, Got: 0959
Checksum failed. Expected: 542c, Got: 2325
Checksum failed. Expected: 2632, Got: 13ff
Checksum failed. Expected: 2205, Got: 22aa
Checksum failed. Expected: 78c0, Got: 41a5
Checksum failed. Expected: b234, Got: 2dad
Checksum failed. Expected: 0b89, Got: ec13
Checksum failed. Expected: f638, Got: eb8e
Checksum failed. Expected: 1cf0, Got: 06b5
Checksum failed. Expected: a923, Got: 132f
Checksum failed. Expected: 725f, Got: 00c2
Checksum failed. Expected: 19e2, Got: c890
Checksum failed. Expected: 5cc8, Got: c744
Checksum failed. Expected: 6abe, Got: 00da
Checksum failed. Expected: 46e9, Got: 17e2
Checksum failed. Expected: 3311, Got: 207e
Checksum failed. Expected: 129b, Got: 40cb
Checksum failed. Expected: 3585, Got: 54bf
Checksum failed. Expected: ef9d, Got: 6ebc
Checksum failed. Expected: 1b32, Got: 65d1
Checksum failed. Expected: 3524, Got: 577e
Checksum failed. Expected: 0a7a, Got: 50da
Checksum failed. Expected: f591, Got: 6462
Checksum failed. Expected: 047e, Got: 7247
Checksum failed. Expected: c8cb, Got: 7eef
Checksum failed. Expected: 9264, Got: 9733
Checksum failed. Expected: 8940, Got: c798
Checksum failed. Expected: 4481, Got: 01e2
Checksum failed. Expected: 175e, Got: 079b
Checksum failed. Expected: e999, Got: ea6d
Checksum failed. Expected: f9ed, Got: cc56
Checksum failed. Expected: 84aa, Got: da74
Checksum failed. Expected: 2d55, Got: e6f9
Checksum failed. Expected: d52c, Got: f019
Checksum failed. Expected: ee45, Got: e62a
Checksum failed. Expected: f347, Got: 0295
Checksum failed. Expected: a88a, Got: 01d2
Checksum failed. Expected: 7f3b, Got: f0ef
Checksum failed. Expected: 76f1, Got: e350
Checksum failed. Expected: 5351, Got: da01
Checksum failed. Expected: 52c7, Got: d4c6
Checksum failed. Expected: 95a1, Got: bb1b
Checksum failed. Expected: bd3d, Got: d334
Checksum failed. Expected: 977f, Got: 0341
Checksum failed. Expected: d413, Got: f19a
Checksum failed. Expected: a648, Got: da83
