
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 36b4, Got: e148
Checksum failed. Expected: dc7f, Got: 4fe0
Checksum failed. Expected: 2d23, Got: be77
Checksum failed. Expected: 4388, Got: 2d0f
Checksum failed. Expected: ab5a, Got: 9ba6
Checksum failed. Expected: 2983, Got: 0a3e
Checksum failed. Expected: 3fd9, Got: 78d5
Checksum failed. Expected: a295, Got: e76d
Checksum failed. Expected: 3c1f, Got: 5604
Checksum failed. Expected: 1948, Got: c49c
Checksum failed. Expected: a63c, Got: 3334
Checksum failed. Expected: a436, Got: a1cb
Checksum failed. Expected: f5f5, Got: 1063
Checksum failed. Expected: 72e1, Got: 7efa
Checksum failed. Expected: f23f, Got: ed92
Checksum failed. Expected: 2743, Got: 5c29
Checksum failed. Expected: 88c6, Got: cac1
Checksum failed. Expected: 05ce, Got: 3958
Checksum failed. Expected: 7a69, Got: a7f0
Checksum failed. Expected: 3c37, Got: 1688
Checksum failed. Expected: 8fe3, Got: 851f
Checksum failed. Expected: b643, Got: f3b7
Checksum failed. Expected: 4547, Got: 624e
Checksum failed. Expected: 9f46, Got: d0e6
Checksum failed. Expected: 7754, Got: 3f7d
Checksum failed. Expected: 9413, Got: ae15
Checksum failed. Expected: 8133, Got: 1cac
Checksum failed. Expected: 3b9c, Got: 8b44
Checksum failed. Expected: 94b1, Got: f9db
Checksum failed. Expected: 5692, Got: 6873
Checksum failed. Expected: 24f8, Got: d70b
Checksum failed. Expected: 121a, Got: 45a2
Checksum failed. Expected: 08d7, Got: b43a
Checksum failed. Expected: 4fd7, Got: 22d1
Checksum failed. Expected: 4378, Got: 9169
Checksum failed. Expected: 5cd3, Got: 0000
Checksum failed. Expected: b174, Got: 6e98
Checksum failed. Expected: c6e5, Got: dd2f
Checksum failed. Expected: 232c, Got: 4bc7
Checksum failed. Expected: 257e, Got: ba5f
Checksum failed. Expected: 84ce, Got: 28f6
Checksum failed. Expected: b4b7, Got: 978e
Checksum failed. Expected: 1c85, Got: 0625
Checksum failed. Expected: 5f64, Got: 74bd
Checksum failed. Expected: 52ed, Got: e354
Checksum failed. Expected: 14c6, Got: 51ec
Checksum failed. Expected: 0d8e, Got: c083
Checksum failed. Expected: 3b4f, Got: 2f1b
Checksum failed. Expected: 7be5, Got: 9db3
Checksum failed. Expected: 201d, Got: 0c4a
Checksum failed. Expected: 1f22, Got: 7ae2
Checksum failed. Expected: c9b9, Got: e979
Checksum failed. Expected: 7336, Got: 5811
Checksum failed. Expected: 10ee, Got: c6a8
Checksum failed. Expected: 75b9, Got: 3540
Checksum failed. Expected: 09f3, Got: a3d7
Checksum failed. Expected: 479c, Got: 126f
Checksum failed. Expected: 405c, Got: 8106
Checksum failed. Expected: 0128, Got: ef9e
Checksum failed. Expected: f6cc, Got: 5e36
Checksum failed. Expected: 289e, Got: cccd
Checksum failed. Expected: f633, Got: 3b65
Checksum failed. Expected: 6231, Got: a9fc
