
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ca48, Got: bd81
Checksum failed. Expected: e78c, Got: bd81
Checksum failed. Expected: 533c, Got: bd7f
Checksum failed. Expected: 5720, Got: bd7d
Checksum failed. Expected: b349, Got: bd7c
Checksum failed. Expected: f0c3, Got: bd7d
Checksum failed. Expected: d49b, Got: bd80
Checksum failed. Expected: 30b4, Got: bd81
Checksum failed. Expected: 7e72, Got: bd81
Checksum failed. Expected: 29b8, Got: bd81
Checksum failed. Expected: 70e8, Got: bd82
Checksum failed. Expected: 0a8f, Got: bd80
Checksum failed. Expected: abbf, Got: bd80
Checksum failed. Expected: 7bb1, Got: bd80
Checksum failed. Expected: 64f5, Got: bd80
Checksum failed. Expected: bef6, Got: bd81
Checksum failed. Expected: 141d, Got: bd80
Checksum failed. Expected: 0da9, Got: bd7e
Checksum failed. Expected: 39f7, Got: bd7e
Checksum failed. Expected: 3261, Got: bd7e
Checksum failed. Expected: 9eaf, Got: bd7e
Checksum failed. Expected: e124, Got: bd7f
Checksum failed. Expected: 2b21, Got: bd80
Checksum failed. Expected: 3405, Got: bd81
Checksum failed. Expected: 12d1, Got: bd81
Checksum failed. Expected: 8093, Got: bd7f
Checksum failed. Expected: 1e67, Got: bd80
Checksum failed. Expected: 1838, Got: bd80
Checksum failed. Expected: 1a19, Got: bd80
Checksum failed. Expected: f347, Got: bd81
Checksum failed. Expected: b3de, Got: bd7f
Checksum failed. Expected: 0242, Got: bd7c
Checksum failed. Expected: 55ed, Got: bd7d
Checksum failed. Expected: ee86, Got: bd80
Checksum failed. Expected: 5444, Got: bd80
Checksum failed. Expected: 2ee9, Got: bd80
Checksum failed. Expected: 9387, Got: bd81
