
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: f260, Got: 2b1c
Checksum failed. Expected: 1971, Got: 282a
Checksum failed. Expected: 6d84, Got: 2892
Checksum failed. Expected: 6490, Got: 26ec
Checksum failed. Expected: fd50, Got: 2c3e
Checksum failed. Expected: 037e, Got: 23fc
Checksum failed. Expected: 7622, Got: a5bc
Checksum failed. Expected: d1a8, Got: 1d87
Checksum failed. Expected: 06a6, Got: a577
Checksum failed. Expected: 6fe0, Got: b064
Checksum failed. Expected: 2dc3, Got: 3189
Checksum failed. Expected: ae4d, Got: 31ad
Checksum failed. Expected: ad51, Got: b8cc
Checksum failed. Expected: f1c3, Got: 3626
Checksum failed. Expected: 6edb, Got: 3e03
Checksum failed. Expected: 5962, Got: 423b
Checksum failed. Expected: 9304, Got: 4115
Checksum failed. Expected: 60f8, Got: 3ae4
Checksum failed. Expected: ce6e, Got: 3a62
Checksum failed. Expected: 48a5, Got: 2c4c
Checksum failed. Expected: cdbb, Got: 2ce6
Checksum failed. Expected: 05de, Got: ac51
