
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 8687, Got: 91f7
Checksum failed. Expected: 5c77, Got: 8a5d
Checksum failed. Expected: 1366, Got: 8dbc
Checksum failed. Expected: 9e51, Got: 0d63
Checksum failed. Expected: 8f31, Got: 8f06
Checksum failed. Expected: 8907, Got: 0ab8
Checksum failed. Expected: 86da, Got: 9004
Checksum failed. Expected: a29e, Got: 9c19
Checksum failed. Expected: d315, Got: 9a5e
Checksum failed. Expected: b8ca, Got: 93ad
Checksum failed. Expected: 2145, Got: 8c1e
Checksum failed. Expected: d753, Got: 9472
Checksum failed. Expected: 368e, Got: 041a
Checksum failed. Expected: 86db, Got: 8138
Checksum failed. Expected: 9e9f, Got: 04c8
Checksum failed. Expected: 0e81, Got: 87cd
Checksum failed. Expected: 832a, Got: 0a29
Checksum failed. Expected: 9580, Got: 8f1a
Checksum failed. Expected: caf5, Got: 9938
Checksum failed. Expected: e549, Got: 1cc9
Checksum failed. Expected: 6385, Got: 966a
Checksum failed. Expected: 8275, Got: 9741
Checksum failed. Expected: 218e, Got: 93a2
Checksum failed. Expected: 5b4b, Got: 0a72
Checksum failed. Expected: 1ea7, Got: 0a2d
Checksum failed. Expected: 4301, Got: 09ca
Checksum failed. Expected: d508, Got: 1c60
Checksum failed. Expected: 284a, Got: 9ec5
Checksum failed. Expected: 571e, Got: a015
Checksum failed. Expected: 7cd3, Got: 1f25
Checksum failed. Expected: 8ae9, Got: 9a24
Checksum failed. Expected: cc00, Got: 97c8
Checksum failed. Expected: 19fd, Got: 9136
Checksum failed. Expected: c1ba, Got: 9568
Checksum failed. Expected: 44dd, Got: 95a3
Checksum failed. Expected: 2886, Got: 13f9
Checksum failed. Expected: 2e88, Got: 943c
Checksum failed. Expected: 75f4, Got: 1091
Checksum failed. Expected: 6061, Got: 8e3a
Checksum failed. Expected: 9d87, Got: 8e1f
Checksum failed. Expected: d3c1, Got: 8f26
Checksum failed. Expected: 2b9e, Got: 0232
Checksum failed. Expected: d070, Got: 0398
Checksum failed. Expected: 732e, Got: 08d5
Checksum failed. Expected: e05b, Got: 0012
Checksum failed. Expected: e79e, Got: 8494
Checksum failed. Expected: 7690, Got: 8f96
Checksum failed. Expected: a7ba, Got: 104c
Checksum failed. Expected: 4cac, Got: 08e8
Checksum failed. Expected: 3599, Got: 1054
Checksum failed. Expected: 43f8, Got: 868a
Checksum failed. Expected: 4b42, Got: 01d3
Checksum failed. Expected: 0c6b, Got: 020a
Checksum failed. Expected: 5c2f, Got: 02d3
Checksum failed. Expected: f332, Got: f105
Checksum failed. Expected: a408, Got: 73fc
Checksum failed. Expected: 9f58, Got: 8364
Checksum failed. Expected: d754, Got: 0b5d
Checksum failed. Expected: 0287, Got: 8415
