
#################################################################
Log started at 2025-06-12_16-22-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-5.751339, Y=0.119146, Z=7.936032 m/s^2 Time of Week: 2716.587000, Week Number: 0
Acceleration: X=-5.748948, Y=0.120348, Z=7.950380 m/s^2 Time of Week: 2716.588000, Week Number: 0
Acceleration: X=-5.748362, Y=0.116758, Z=7.950992 m/s^2 Time of Week: 2716.589000, Week Number: 0
Acceleration: X=-5.745367, Y=0.117388, Z=7.947445 m/s^2 Time of Week: 2716.590000, Week Number: 0
Acceleration: X=-5.742975, Y=0.115585, Z=7.953446 m/s^2 Time of Week: 2716.591000, Week Number: 0
Acceleration: X=-5.747770, Y=0.114410, Z=7.951636 m/s^2 Time of Week: 2716.592000, Week Number: 0
Acceleration: X=-5.751344, Y=0.116810, Z=7.952814 m/s^2 Time of Week: 2716.593000, Week Number: 0
Acceleration: X=-5.747160, Y=0.122132, Z=7.950978 m/s^2 Time of Week: 2716.594000, Week Number: 0
Acceleration: X=-5.749499, Y=0.123327, Z=7.944399 m/s^2 Time of Week: 2716.595000, Week Number: 0
Acceleration: X=-5.757885, Y=0.122777, Z=7.943809 m/s^2 Time of Week: 2716.596000, Week Number: 0
Acceleration: X=-5.762053, Y=0.123446, Z=7.937215 m/s^2 Time of Week: 2716.597000, Week Number: 0
Acceleration: X=-5.756087, Y=0.127065, Z=7.941386 m/s^2 Time of Week: 2716.598000, Week Number: 0
Acceleration: X=-5.748942, Y=0.128835, Z=7.946158 m/s^2 Time of Week: 2716.599000, Week Number: 0
Acceleration: X=-5.744091, Y=0.133645, Z=7.944401 m/s^2 Time of Week: 2716.600000, Week Number: 0
Acceleration: X=-5.747638, Y=0.128821, Z=7.938468 m/s^2 Time of Week: 2716.601000, Week Number: 0
Acceleration: X=-5.752434, Y=0.126403, Z=7.937853 m/s^2 Time of Week: 2716.602000, Week Number: 0
Acceleration: X=-5.751276, Y=0.125243, Z=7.940249 m/s^2 Time of Week: 2716.603000, Week Number: 0
Acceleration: X=-5.753075, Y=0.122251, Z=7.941456 m/s^2 Time of Week: 2716.604000, Week Number: 0
Acceleration: X=-5.743547, Y=0.117957, Z=7.936671 m/s^2 Time of Week: 2716.605000, Week Number: 0
Acceleration: X=-5.740568, Y=0.114931, Z=7.930668 m/s^2 Time of Week: 2716.606000, Week Number: 0
Acceleration: X=-5.736995, Y=0.109530, Z=7.932481 m/s^2 Time of Week: 2716.607000, Week Number: 0
Acceleration: X=-5.739990, Y=0.107725, Z=7.926508 m/s^2 Time of Week: 2716.608000, Week Number: 0
Acceleration: X=-5.744764, Y=0.111308, Z=7.933089 m/s^2 Time of Week: 2716.609000, Week Number: 0
Acceleration: X=-5.751940, Y=0.119750, Z=7.930668 m/s^2 Time of Week: 2716.610000, Week Number: 0
Acceleration: X=-5.750717, Y=0.124004, Z=7.926449 m/s^2 Time of Week: 2716.611000, Week Number: 0
Acceleration: X=-5.751954, Y=0.117456, Z=7.927043 m/s^2 Time of Week: 2716.612000, Week Number: 0
Acceleration: X=-5.751335, Y=0.110281, Z=7.921702 m/s^2 Time of Week: 2716.613000, Week Number: 0
