
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 5922, Got: 6975
Checksum failed. Expected: f79e, Got: 4775
Checksum failed. Expected: f514, Got: bf75
Checksum failed. Expected: 6bc6, Got: fb75
Checksum failed. Expected: 2572, Got: ed75
Checksum failed. Expected: d986, Got: 4d75
Checksum failed. Expected: 7703, Got: 2c75
Checksum failed. Expected: fda1, Got: 4475
Checksum failed. Expected: bbbd, Got: a275
Checksum failed. Expected: 7f6f, Got: 9075
Checksum failed. Expected: e313, Got: d075
Checksum failed. Expected: 4fe1, Got: 3275
Checksum failed. Expected: 37f7, Got: 6075
Checksum failed. Expected: 1f2b, Got: ac75
Checksum failed. Expected: d17c, Got: 4b75
Checksum failed. Expected: d180, Got: 4f75
Checksum failed. Expected: 39af, Got: 1675
Checksum failed. Expected: 6bb4, Got: e975
Checksum failed. Expected: 2125, Got: a475
Checksum failed. Expected: 479f, Got: f875
Checksum failed. Expected: 1592, Got: 1d75
Checksum failed. Expected: d3fd, Got: ca75
Checksum failed. Expected: b572, Got: 5d75
Checksum failed. Expected: 2f06, Got: 7775
Checksum failed. Expected: 0738, Got: d175
Checksum failed. Expected: bfbc, Got: 9d75
Checksum failed. Expected: 6595, Got: d075
Checksum failed. Expected: db0c, Got: d175
Checksum failed. Expected: dda0, Got: 6375
Checksum failed. Expected: 31af, Got: 1e75
Checksum failed. Expected: 112e, Got: bd75
Checksum failed. Expected: cf70, Got: 4175
Checksum failed. Expected: cf00, Got: d175
Checksum failed. Expected: fd9b, Got: 3e75
Checksum failed. Expected: f542, Got: ed75
Checksum failed. Expected: 15b6, Got: 4175
Checksum failed. Expected: 59d8, Got: 1f75
Checksum failed. Expected: 59fb, Got: 4275
Checksum failed. Expected: 191d, Got: a475
Checksum failed. Expected: cf2c, Got: fd75
Checksum failed. Expected: a72a, Got: 2375
Checksum failed. Expected: 31a3, Got: 1275
Checksum failed. Expected: 4b75, Got: ca75
Checksum failed. Expected: e5b1, Got: 6c75
Checksum failed. Expected: 7ded, Got: 1075
Checksum failed. Expected: e97f, Got: 3675
Checksum failed. Expected: af23, Got: 1475
Checksum failed. Expected: f772, Got: 1b75
Checksum failed. Expected: c53b, Got: 1675
