
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1bc3, Got: 0942
Checksum failed. Expected: 90ef, Got: 0942
Checksum failed. Expected: cea2, Got: 0942
Checksum failed. Expected: 607d, Got: 0942
Checksum failed. Expected: a142, Got: 0942
Checksum failed. Expected: 3635, Got: 0942
Checksum failed. Expected: bb53, Got: 0942
Checksum failed. Expected: 6392, Got: 0942
Checksum failed. Expected: 601d, Got: 0942
Checksum failed. Expected: bba9, Got: 0942
Checksum failed. Expected: 141b, Got: 0942
Checksum failed. Expected: 009c, Got: 0942
Checksum failed. Expected: 35a5, Got: 0942
Checksum failed. Expected: 4124, Got: 0942
Checksum failed. Expected: 93ff, Got: 0942
Checksum failed. Expected: b92d, Got: 0942
Checksum failed. Expected: 8c39, Got: 0942
Checksum failed. Expected: 8e3b, Got: 0942
Checksum failed. Expected: 1aad, Got: 0942
Checksum failed. Expected: 2613, Got: 0942
Checksum failed. Expected: 42a1, Got: 0942
Checksum failed. Expected: c15f, Got: 0942
Checksum failed. Expected: 9f0d, Got: 0942
Checksum failed. Expected: 7109, Got: 0942
Checksum failed. Expected: 61dc, Got: 0942
Checksum failed. Expected: 107a, Got: 0942
Checksum failed. Expected: 1583, Got: 0942
Checksum failed. Expected: 3221, Got: 0942
Checksum failed. Expected: 040f, Got: 0942
Checksum failed. Expected: 85de, Got: 0942
Checksum failed. Expected: 18c9, Got: 0942
Checksum failed. Expected: 6f15, Got: 0942
Checksum failed. Expected: 6eda, Got: 0942
Checksum failed. Expected: 92d3, Got: 0942
Checksum failed. Expected: 0081, Got: 0942
Checksum failed. Expected: 8150, Got: 0942
Checksum failed. Expected: 4bab, Got: 0942
Checksum failed. Expected: 2d99, Got: 0942
Checksum failed. Expected: 95f5, Got: 0942
Checksum failed. Expected: 55ca, Got: 0942
Checksum failed. Expected: 4244, Got: 0942
Checksum failed. Expected: ba7f, Got: 0942
Checksum failed. Expected: 3e8d, Got: 0942
Checksum failed. Expected: 629b, Got: 0942
Checksum failed. Expected: f599, Got: 0942
Checksum failed. Expected: 3fee, Got: 0942
Checksum failed. Expected: 1d70, Got: 0942
Checksum failed. Expected: da0f, Got: 0942
Checksum failed. Expected: 3f2d, Got: 0942
Checksum failed. Expected: f44b, Got: 0942
Checksum failed. Expected: 7b89, Got: 0942
Checksum failed. Expected: d708, Got: 0942
Checksum failed. Expected: 9156, Got: 0942
Checksum failed. Expected: 733d, Got: 0942
Checksum failed. Expected: 842f, Got: 0942
Checksum failed. Expected: f2dd, Got: 0942
Checksum failed. Expected: 16dc, Got: 0942
Checksum failed. Expected: 7257, Got: 0942
Checksum failed. Expected: 8445, Got: 0942
Checksum failed. Expected: bea6, Got: 0942
Checksum failed. Expected: ce6d, Got: 0942
Checksum failed. Expected: 9c2f, Got: 0942
Checksum failed. Expected: 379e, Got: 0942
Checksum failed. Expected: 7319, Got: 0942
Checksum failed. Expected: 3617, Got: 0942

Exiting...
