
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 5a9b, Got: 831d
Checksum failed. Expected: d9b6, Got: fc0c
Checksum failed. Expected: 4ffb, Got: 7b15
Checksum failed. Expected: b111, Got: fd7b
Checksum failed. Expected: b3ed, Got: 7cec
Checksum failed. Expected: b15b, Got: 877a
Checksum failed. Expected: 0c40, Got: 0e39
Checksum failed. Expected: e358, Got: 8b15
Checksum failed. Expected: d530, Got: 94a8
Checksum failed. Expected: c395, Got: 14a8
Checksum failed. Expected: 2a24, Got: 1244
Checksum failed. Expected: ade9, Got: 12be
Checksum failed. Expected: 05d8, Got: 12f6
Checksum failed. Expected: ad60, Got: 963c
Checksum failed. Expected: c11c, Got: a2f9
Checksum failed. Expected: f3c3, Got: 9c58
Checksum failed. Expected: 4992, Got: 946f
Checksum failed. Expected: dc17, Got: 9cd2
Checksum failed. Expected: 06b4, Got: 9ed7
Checksum failed. Expected: 89c6, Got: 9e32
Checksum failed. Expected: b6f5, Got: 1db0
Checksum failed. Expected: 52c4, Got: 944f
Checksum failed. Expected: 4f02, Got: 18f8
Checksum failed. Expected: 0830, Got: 252b
Checksum failed. Expected: e575, Got: 2f6c
Checksum failed. Expected: d928, Got: adab
