
#################################################################
Log started at 2025-06-12_16-20-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2ce4, Got: a5e4
Checksum failed. Expected: 9c42, Got: 147b
Checksum failed. Expected: 5589, Got: 8313
Checksum failed. Expected: 0452, Got: f1aa
Checksum failed. Expected: 2349, Got: 6042
Checksum failed. Expected: 05c7, Got: ced9
Checksum failed. Expected: b5a0, Got: 3d71
Checksum failed. Expected: 13d0, Got: ac09
Checksum failed. Expected: dad0, Got: 1aa0
Checksum failed. Expected: 3d83, Got: 8938
Checksum failed. Expected: bfca, Got: f7cf
Checksum failed. Expected: af3b, Got: 6667
Checksum failed. Expected: e97d, Got: d4fe
Checksum failed. Expected: f9ae, Got: 4396
Checksum failed. Expected: 856c, Got: b22d
Checksum failed. Expected: 4637, Got: 20c5
Checksum failed. Expected: 3465, Got: 8f5d
Checksum failed. Expected: 9a30, Got: fdf4
Checksum failed. Expected: cb23, Got: 6c8c
Checksum failed. Expected: cb45, Got: db23
Checksum failed. Expected: 19a3, Got: 49bb
Checksum failed. Expected: 78e9, Got: b852
